,sg,sg,sg,sg,sg,sg,sg,bw,bw,bw,bw,bw,bw,bw,cleaned,cleaned,cleaned,cleaned,cleaned,cleaned,cleaned
,A0,A1,tau1,TD1,A2,tau2,TD2,A0,A1,tau1,TD1,A2,tau2,TD2,A0,A1,tau1,TD1,A2,tau2,TD2
SP2206,0.6978023814477416,2.1394741370470842,25.40837334203156,5.082816837369142,0.8321681905735338,299.99999999999994,144.81115982342135,0.4771965122957522,2.3714051637037135,26.99709705749501,1.2183405610380151,0.8159642460148276,299.99999999999994,148.514938829032,0.7035499966425811,2.1357212947461517,25.373301312229778,5.350707200203135,0.8490897746273415,299.99999999999994,147.30511506202572
HS2601,0.7777369035488693,2.1554320442389887,24.252726427088064,5.44713750720188,0.05760512418554781,20.49952840695058,144.63882670206908,0.7854852841508145,2.146706825676305,24.111163993674893,5.691056841406222,0.05868885991903262,20.437449908976248,144.1157174682747,0.9494333899301629,1.9631966231677151,21.006035286056463,10.361052918124402,0.07654567511230578,17.89509541011991,140.0000230110701
FF1107,0.7857930587280046,1.8938062610936652,23.894788772780384,10.360255247843194,0.2794360406500799,201.3657356554408,104.99999887006565,0.7980891306142072,1.8807439570144582,23.849611348222204,10.557877557039799,0.2850889775993458,201.5358129157374,105.0000624536958,0.5536174026034772,2.173963344122482,29.020380965773505,3.589101838937567,0.2837033593314615,299.30382547307835,129.99994322015138
HL1301,0.870369002224029,2.287797883477657,25.048237313585634,6.921664268296119,2.6167495788402166e-09,299.9999983231285,239.9996486741462,1.0570419983504837,2.0983230349365236,23.598320471215406,10.507258726933246,8.331980903849752e-14,285.17800868649704,239.99999999990027,0.8036190550472604,2.3596658109717725,26.29081527590184,4.999999116790751,0.02068446311388085,289.85345851250753,222.61098014872883
GC2408,1.1502368999434338,2.042207220885338,29.05723559193784,6.217373979482531,0.1216614700671875,10.00000000000062,124.25855051135886,1.1659651491557907,2.025351259044252,28.85768650320686,6.618820869622343,0.12170550464608632,10.000000000000002,124.70952139180645,1.2922666673275158,1.8445506684963267,23.779844275681718,11.778409518890998,0.17166061911454483,15.930687561017336,112.50010484749419
LB0303,1.2182769811651526,2.1595229563226983,26.492836094842705,10.37253566542801,0.8363666960782662,299.9999994336545,174.24196432059608,1.234256451474102,2.1430135543979234,26.319612650835577,10.791633840833038,0.827985382706479,299.99999674051753,173.92244823021656,1.2509666668687416,2.1214902432745038,25.390687281478616,11.925505776992159,0.8475178084634974,299.9999821209111,172.31496759138102
SE1208,0.721074225104383,3.7109741563772745,36.517221445719905,1.4413622173736507e-22,0.1993826597098069,45.30488259907668,155.85254389682723,0.8177447451488261,3.618405601527806,36.90606898469827,0.6793430479718527,0.1899346247946407,44.531078879467266,155.52471691844943,0.8179489112908008,3.5962511052658614,35.25382511203969,1.7470923213300962,0.2396923728167041,59.06773404646379,150.00006488852628
LA1404,1.2316133669784375,3.0603219036007507,29.469366205007663,6.461871341618275e-19,1.3449475593532754,299.99999999999994,149.40244336008857,1.1532426194078644,3.135295669270552,28.887804491646005,6.2507081249276656e-12,1.3497666734721947,299.99999999993116,149.08696786513192,1.2269949269939693,3.073545056682971,29.865530103977772,3.529075290556705e-12,1.3832561346355277,299.9999999999264,153.3752011285947
KA1406,1.1611000035774701,3.204401419452972,28.707607971080172,11.192901998363965,0.12182594758311417,10.000000000000034,190.30731749754491,1.1813052416932293,3.1829343904346463,28.526351876466755,11.506211017903759,0.12192305814597479,11.348215930156062,190.00000742824508,1.2250978325468187,3.100243000105875,26.300159186791635,13.170597255363388,0.36079724625131665,207.59739268153484,130.00001770712186
